Exp,Group,TotVOL1,SugCon1,SugAmount1,TotVOL2,SugCon2,SugAmount2,Flowers
1b,Bee,9.12885,24,2.381132719,0.1875,18,0.035601375,1
1b,Bee,9.09895,21,2.04570328,0.5,16,0.083578,2
1b,High,10.20485,24.5,2.724078832,0.15625,11.5,0.018398691,2
1b,High,9.4481,28.5,2.993362395,0.21875,18,0.041534938,1
1b,High,9.0378,22,2.139373789,0.125,22,0.02958925,1
1b,Low,10.0704,28.5,3.190520492,0.25,23.5,0.063690406,1
1b,Low,7.4645,25.5,2.084346858,0.59375,14,0.086037938,1
1b,Low,6.80555,30,2.286732856,0.15625,25,0.042667578,1
1b,Bee,10.45485,30,3.512934149,0.125,12,0.0153905,1
1b,Bee,5.08005,18,0.964569414,0.28125,22,0.066575813,1
1b,Bee,4.39255,31,1.532773734,0.09375,19,0.018882047,1
1b,High,1.93885,28,0.601981903,0.25,10.5,0.026773656,1
1b,High,13.03085,22,3.084584627,0.09375,11,0.010538297,1
1b,High,3.48495,30,1.17097805,0.3125,21,0.070258906,1
1b,Silent,3.19965,16.5,0.552872723,0.3125,13.5,0.043567695,2
1b,Silent,7.1248,32,2.579206099,0.15625,22,0.036986563,1
1b,Silent,7.4998,31.5,2.665891095,0.125,21,0.028103563,1
1b,Low,0.59645,18.5,0.1166815,0.125,17,0.022307063,2
1b,Low,15.53625,28,4.823757045,0.25,19,0.050352125,2
1b,Low,6.9047,27.5,2.100241438,0.1875,20,0.03994875,1
1b,Silent,14.09065,26.5,4.109490517,0.21875,16,0.036565375,1
1b,Silent,15.1898,28,4.716189863,0.5,18.5,0.097813313,1
1b,High,26.09315,31,9.105165553,0.375,19,0.075528188,1
1b,High,20.1271,25,5.496157515,0.1875,19,0.037764094,4
1b,Low,14.4996,29,4.686103975,0.34375,22.5,0.08342834,2
1b,Low,14.93575,28.5,4.731968586,0.1875,19.5,0.03885368,2
1b,Bee,15.4778,27,4.610782448,0.375,20,0.0798975,1
1b,Bee,20.2467,29.5,6.673001027,0.21875,22,0.051781188,1
1b,Silent,4.3505,22,1.029824257,0.28125,16,0.047012625,2
1b,Silent,14.25095,34,5.536009543,0.25,13,0.033489125,1
1b,Silent,15.0295,27,4.477235447,0.21875,18.5,0.042793324,1
1b,Bee,9.55555,26.5,2.786843908,0.21875,16.5,0.037798168,1
1b,Bee,10.57985,25,2.889066089,0.15625,16,0.026118125,1
1b,Bee,7.5162,21,1.689855972,0.1875,15.5,0.030290555,2
1b,Low,6.4292,25,1.755637717,0.34375,16,0.057459875,2
1b,Low,18.3038,29.5,6.032651059,0.125,15,0.019496563,2
1b,Low,16.28355,21.5,3.757537041,0.40625,20.5,0.08894016,4
1b,High,10.7932,24.5,2.881132761,0.21875,12,0.026933375,2
1b,High,15.7604,27,4.694967999,0.125,14.5,0.018803078,1
1b,High,13.93845,25,3.806207388,0.375,13,0.050233688,1
1b,High,2.13445,19,0.429896373,0.15625,13.5,0.021783848,1
1b,High,1.2201,17,0.217734776,0.1875,20,0.03994875,1
1b,High,6.5814,27.5,2.001901458,0.28125,20,0.059923125,3
1b,High,2.07195,25,0.565792566,0.125,13,0.016744563,2
1b,Bee,4.70775,22.5,1.142573867,0.21875,15,0.034118984,2
1b,Bee,6.652,20.5,1.456319866,0.125,15,0.019496563,1
1b,Bee,9.47125,25.5,2.644700942,0.65625,13,0.087908953,2
1b,Bee,6.41435,23,1.595354682,0.4375,15,0.068237969,1
1b,Silent,6.43055,25,1.756006365,0.46875,12,0.057714375,1
1b,Silent,5.63985,26,1.609759826,0.21875,10,0.022270938,1
1b,Silent,7.152,23,1.778820408,0.1875,13.5,0.026140617,2
1b,Silent,6.2064,24.5,1.656734089,0.28125,11.5,0.033117645,1
1b,Low,5.83545,28,1.811813858,0.15625,20,0.033290625,2
1b,Low,4.75945,22,1.126628447,0.3125,21,0.070258906,1
1b,Low,6.34085,19,1.277101087,0.28125,16.5,0.048597645,2
1b,Low,9.9101,25,2.706175782,0.25,19,0.050352125,2
1b,Silent,2.288,22,0.541601632,0.09375,25,0.025600547,1
1b,Silent,5.6493,26,1.612457102,0.25,22.5,0.060675156,1
1b,Low,11.68035,24.5,3.117948249,0.125,14,0.01811325,2
1b,Low,8.3204,23.5,2.119718625,0.21875,24,0.057057875,1
1b,Low,3.701,21,0.832090279,0.1875,20,0.03994875,1
1b,Bee,5.5189,26,1.575237551,0.34375,13,0.046047547,2
1b,Bee,6.12075,25,1.671408504,0.140625,26.5,0.041012807,1
1b,High,6.87615,21,1.54595449,0.28125,15,0.043867266,1
1b,High,4.1412,24.5,1.105450375,0.375,10.5,0.040160484,1
1b,High,6.027,25,1.645807958,0.1875,11,0.021076594,2
1b,High,6.02295,24,1.571002186,0.09375,13,0.012558422,1
1b,Low,6.30825,26,1.800538565,0.28125,15,0.043867266,1
1b,Low,7.47125,24,1.948770965,0.21875,14,0.031698188,1
1b,Low,6.61805,24,1.72622569,0.4375,18,0.083069875,1
1b,Bee,2.3179,17,0.413644321,0.125,15,0.019496563,1
1b,Silent,3.688075,25,1.00711186,0.46875,20,0.099871875,1
1b,Low,9.07445,18,1.723002119,0.21875,11,0.024589359,1
1b,High,2.12635,25.5,0.593750545,0.15625,17,0.027883828,2
1b,Low,8.9753,30,3.015790553,0.125,23,0.031089563,1
1b,Bee,11.46025,25,3.129479118,0.125,24,0.0326045,1
1b,Silent,2.1032,18,0.399342997,0.0625,12,0.00769525,2
1b,Bee,8.9128,24,2.324779101,0.34375,22,0.081370438,1
1b,Bee,11.33525,26,3.235375067,0.46875,19,0.094410234,1
1b,High,11.1138,25.5,3.103357775,0.125,17,0.022307063,1
1b,High,6.652,23,1.654462158,0.28125,12,0.034628625,1
1b,Low,10.54725,25,2.880163926,0.21875,20,0.046606875,1
1b,Low,6.7417,21,1.515726298,0.21875,17,0.039037359,1
1b,Silent,7.75385,26,2.21315039,0.375,14,0.05433975,1
1b,Bee,2.96875,22,0.702744688,0.3125,11.5,0.036797383,1
1b,Bee,4.171875,23.5,1.062833654,0.3125,22,0.073973125,1
1b,Silent,0.34375,19.5,0.071231746,0.21875,8,0.017710875,1
1b,Silent,3.5,22,0.828499,0.1875,14,0.027169875,1
1b,High,6.09375,22,1.442475938,0.75,14,0.1086795,1
1b,High,2.796875,17,0.499120523,0.1875,13,0.025116844,1
1b,Low,2.3125,18.5,0.45238657,0.3125,14,0.045283125,1
1b,Silent,8.52565,22,2.018140714,0.125,12,0.0153905,1
1b,Silent,1.34915,19,0.271730278,0.125,14,0.01811325,1
1b,Low,5.27295,24,1.375375186,0.3125,15,0.048741406,1
1b,Low,9.603,24,2.504808108,0.28125,17,0.050190891,1
1b,Bee,2.951,17,0.526625132,0.15625,15,0.024370703,1
1b,High,11.0513,23.5,2.815447146,0.28125,11.5,0.033117645,1
1b,High,8.7905,20.5,1.924500869,0.125,13,0.016744563,1
1b,Silent,1.0326,26.5,0.301154305,0.21875,19.5,0.045329293,1
1b,Silent,1.03125,24,0.268987125,0.09375,15,0.014622422,1
1b,High,1.09375,18,0.207674688,0.125,11.5,0.014718953,2
1b,High,3,23,0.7461495,0.21875,14,0.031698188,1
1b,Bee,2.0625,20,0.43943625,0.5,18,0.094937,1
1b,Silent,2.3505,28,0.729792642,0.21875,11,0.024589359,1
1b,Silent,2.5407,22,0.60141926,0.28125,12,0.034628625,1
1b,Bee,2.62635,25,0.71718396,0.875,15,0.136475938,1
1b,Bee,3.6875,30,1.239036875,0.09375,16,0.015670875,1
